Steve vs. Luca
	Battle 1: Luca  defeated Steve : Steve 25, Luca 27
	Battle 2: Luca  defeated Steve : Steve 24, Luca 28
	Battle 3: Luca  defeated Steve : Steve 23, Luca 29
	Battle 4: Steve  defeated Luca : Steve 24, Luca 28
	Battle 5: Steve  defeated Luca : Steve 25, Luca 27
	Battle 6: Steve  defeated Luca : Steve 26, Luca 26
	Battle 7: Steve  tied Luca 	War 1: Steve  defeated Luca : Steve 27, Luca 25
	Battle 8: Steve  defeated Luca : Steve 28, Luca 24
	Battle 9: Steve  tied Luca 	War 2: Steve  defeated Luca : Steve 29, Luca 23
	Battle 10: Steve  defeated Luca : Steve 30, Luca 22
	Battle 11: Steve  defeated Luca : Steve 31, Luca 21
	Battle 12: Luca  defeated Steve : Steve 30, Luca 22
	Battle 13: Steve  defeated Luca : Steve 31, Luca 21
	Battle 14: Steve  defeated Luca : Steve 32, Luca 20
	Battle 15: Steve  defeated Luca : Steve 33, Luca 19
	Battle 16: Steve  defeated Luca : Steve 34, Luca 18
	Battle 17: Luca  defeated Steve : Steve 33, Luca 19
	Battle 18: Luca  defeated Steve : Steve 32, Luca 20
	Battle 19: Steve  defeated Luca : Steve 33, Luca 19
	Battle 20: Luca  defeated Steve : Steve 32, Luca 20
	Battle 21: Luca  defeated Steve : Steve 31, Luca 21
	Battle 22: Steve  defeated Luca : Steve 32, Luca 20
	Battle 23: Steve  defeated Luca : Steve 33, Luca 19
	Battle 24: Luca  defeated Steve : Steve 32, Luca 20
	Battle 25: Luca  defeated Steve : Steve 31, Luca 21
	Battle 26: Steve  defeated Luca : Steve 32, Luca 20
	Battle 27: Steve  defeated Luca : Steve 33, Luca 19
	Battle 28: Luca  defeated Steve : Steve 32, Luca 20
	Battle 29: Luca  defeated Steve : Steve 31, Luca 21
	Battle 30: Luca  defeated Steve : Steve 30, Luca 22
	Battle 31: Luca  defeated Steve : Steve 29, Luca 23
	Battle 32: Luca  defeated Steve : Steve 28, Luca 24
	Battle 33: Luca  defeated Steve : Steve 27, Luca 25
	Battle 34: Luca  defeated Steve : Steve 26, Luca 26
	Battle 35: Luca  defeated Steve : Steve 25, Luca 27
	Battle 36: Steve  defeated Luca : Steve 26, Luca 26
	Battle 37: Steve  defeated Luca : Steve 27, Luca 25
	Battle 38: Steve  defeated Luca : Steve 28, Luca 24
	Battle 39: Steve  defeated Luca : Steve 29, Luca 23
	Battle 40: Luca  defeated Steve : Steve 28, Luca 24
	Battle 41: Luca  defeated Steve : Steve 27, Luca 25
	Battle 42: Luca  defeated Steve : Steve 26, Luca 26
	Battle 43: Steve  defeated Luca : Steve 27, Luca 25
	Battle 44: Steve  defeated Luca : Steve 28, Luca 24
	Battle 45: Steve  defeated Luca : Steve 29, Luca 23
	Battle 46: Steve  defeated Luca : Steve 30, Luca 22
	Battle 47: Steve  defeated Luca : Steve 31, Luca 21
	Battle 48: Luca  defeated Steve : Steve 30, Luca 22
	Battle 49: Luca  defeated Steve : Steve 29, Luca 23
	Battle 50: Luca  defeated Steve : Steve 28, Luca 24
	Battle 51: Luca  defeated Steve : Steve 27, Luca 25
	Battle 52: Luca  defeated Steve : Steve 26, Luca 26
	Battle 53: Steve  tied Luca 	War 3: Steve  defeated Luca : Steve 27, Luca 25
	Battle 54: Luca  defeated Steve : Steve 26, Luca 26
	Battle 55: Steve  defeated Luca : Steve 27, Luca 25
	Battle 56: Steve  tied Luca 	War 4: Steve  defeated Luca : Steve 28, Luca 24
	Battle 57: Steve  defeated Luca : Steve 29, Luca 23
	Battle 58: Luca  defeated Steve : Steve 28, Luca 24
	Battle 59: Steve  defeated Luca : Steve 29, Luca 23
	Battle 60: Steve  defeated Luca : Steve 30, Luca 22
	Battle 61: Luca  defeated Steve : Steve 29, Luca 23
	Battle 62: Luca  defeated Steve : Steve 28, Luca 24
	Battle 63: Steve  defeated Luca : Steve 29, Luca 23
	Battle 64: Steve  defeated Luca : Steve 30, Luca 22
	Battle 65: Luca  defeated Steve : Steve 29, Luca 23
	Battle 66: Luca  defeated Steve : Steve 28, Luca 24
	Battle 67: Steve  defeated Luca : Steve 29, Luca 23
	Battle 68: Steve  defeated Luca : Steve 30, Luca 22
	Battle 69: Steve  defeated Luca : Steve 31, Luca 21
	Battle 70: Steve  defeated Luca : Steve 32, Luca 20
	Battle 71: Luca  defeated Steve : Steve 31, Luca 21
	Battle 72: Luca  defeated Steve : Steve 30, Luca 22
	Battle 73: Steve  defeated Luca : Steve 31, Luca 21
	Battle 74: Steve  defeated Luca : Steve 32, Luca 20
	Battle 75: Steve  defeated Luca : Steve 33, Luca 19
	Battle 76: Luca  defeated Steve : Steve 32, Luca 20
	Battle 77: Steve  defeated Luca : Steve 33, Luca 19
	Battle 78: Steve  defeated Luca : Steve 34, Luca 18
	Battle 79: Steve  defeated Luca : Steve 35, Luca 17
	Battle 80: Steve  defeated Luca : Steve 36, Luca 16
	Battle 81: Steve  defeated Luca : Steve 37, Luca 15
	Battle 82: Steve  defeated Luca : Steve 38, Luca 14
	Battle 83: Luca  defeated Steve : Steve 37, Luca 15
	Battle 84: Luca  defeated Steve : Steve 36, Luca 16
	Battle 85: Luca  defeated Steve : Steve 35, Luca 17
	Battle 86: Steve  defeated Luca : Steve 36, Luca 16
	Battle 87: Luca  defeated Steve : Steve 35, Luca 17
	Battle 88: Luca  defeated Steve : Steve 34, Luca 18
	Battle 89: Steve  defeated Luca : Steve 35, Luca 17
	Battle 90: Steve  defeated Luca : Steve 36, Luca 16
	Battle 91: Luca  defeated Steve : Steve 35, Luca 17
	Battle 92: Steve  tied Luca 	War 5: Steve  defeated Luca : Steve 36, Luca 16
	Battle 93: Steve  tied Luca 	War 6:Luca  defeated Steve : Steve 35, Luca 17
	Battle 94: Steve  tied Luca 	War 7:Luca  defeated Steve : Steve 34, Luca 18
	Battle 95: Steve  defeated Luca : Steve 35, Luca 17
	Battle 96: Steve  defeated Luca : Steve 36, Luca 16
	Battle 97: Luca  defeated Steve : Steve 35, Luca 17
	Battle 98: Luca  defeated Steve : Steve 34, Luca 18
	Battle 99: Steve  defeated Luca : Steve 35, Luca 17
	Battle 100: Steve  tied Luca 	War 8:Luca  defeated Steve : Steve 34, Luca 18
	Battle 101: Luca  defeated Steve : Steve 33, Luca 19
	Battle 102: Luca  defeated Steve : Steve 32, Luca 20
	Battle 103: Luca  defeated Steve : Steve 31, Luca 21
	Battle 104: Luca  defeated Steve : Steve 30, Luca 22
	Battle 105: Steve  defeated Luca : Steve 31, Luca 21
	Battle 106: Luca  defeated Steve : Steve 30, Luca 22
	Battle 107: Luca  defeated Steve : Steve 29, Luca 23
	Battle 108: Luca  defeated Steve : Steve 28, Luca 24
	Battle 109: Luca  defeated Steve : Steve 27, Luca 25
	Battle 110: Luca  defeated Steve : Steve 26, Luca 26
	Battle 111: Steve  defeated Luca : Steve 27, Luca 25
	Battle 112: Steve  defeated Luca : Steve 28, Luca 24
	Battle 113: Steve  defeated Luca : Steve 29, Luca 23
	Battle 114: Luca  defeated Steve : Steve 28, Luca 24
	Battle 115: Steve  defeated Luca : Steve 29, Luca 23
	Battle 116: Steve  defeated Luca : Steve 30, Luca 22
	Battle 117: Steve  defeated Luca : Steve 31, Luca 21
	Battle 118: Steve  defeated Luca : Steve 32, Luca 20
	Battle 119: Luca  defeated Steve : Steve 31, Luca 21
	Battle 120: Luca  defeated Steve : Steve 30, Luca 22
